City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
348,wailua homesteads,22.0669,-159.378,299.12,80,40,5.66,US,1696877391
349,faya-largeau,17.9257,19.1043,305.41,22,8,6.75,TD,1696877392
350,mermoz boabab,14.7065,-17.4758,303.03,74,0,3.09,SN,1696877392
351,kalaleh,37.3807,55.4916,295.93,68,0,2.06,IR,1696877392
352,pak phanang,8.3511,100.202,300.13,81,94,1.3,TH,1696877392
353,wanning,18.8003,110.3967,297.02,87,97,3.73,CN,1696877393
354,amurzet,47.6967,131.0981,278.86,68,0,3.49,RU,1696877393
355,chibougamau,49.9168,-74.3659,279.94,81,100,7.2,CA,1696877393
356,alaghsas,17.0187,8.0168,307.09,20,0,2.57,NE,1696877394
357,eaton rapids,42.5092,-84.6558,285.86,52,75,5.66,US,1696877394
358,summerside,46.3959,-63.7876,290.22,59,14,4.63,CA,1696877394
359,kalmunai,7.4167,81.8167,299.24,87,100,4.7,LK,1696877395
360,bushehr,28.9684,50.8385,304.2,55,0,2.06,IR,1696877395
361,antsiranana,-12.2787,49.2917,296.77,82,100,5.93,MG,1696877283
362,miles city,46.4083,-105.8406,290.69,48,0,3.6,US,1696877395
363,barranca,-10.75,-77.7667,293.81,75,92,4.18,PE,1696877396
364,kloulklubed,7.0419,134.2556,300.43,86,100,12.35,PW,1696877396
365,ugoofaaru,5.6667,73.0,300.96,78,40,2.44,MV,1696877397
